Country,VeganCosts,VegetarianCosts
Armenia,83.5607476635514,36.86915887850467
Afghanistan,30.91509433962264,19.70754716981132
Albania,43.72641509433962,25.20754716981132
Algeria,50.54205607476636,19.22429906542056
Angola,28.046296296296298,25.25
Antigua and Barbuda,60.083333333333336,35.06481481481482
Argentina,167.3148148148148,136.12037037037038
Australia,80.86792452830188,48.867924528301884
Austria,34.39622641509434,20.29245283018868
Bahamas,78.82407407407408,58.138888888888886
Barbados,63.592592592592595,42.02777777777778
Bangladesh,9.726415094339623,5.839622641509434
Bermuda,42.09345794392523,34.822429906542055
Bolivia (Plurinational State of),48.583333333333336,39.75
Botswana,50.93518518518518,23.814814814814813
Brazil,103.27777777777777,75.8425925925926
Belize,29.935185185185187,14.842592592592593
Solomon Islands,10.415094339622641,8.641509433962264
Brunei Darussalam,42.22641509433962,32.575471698113205
Bulgaria,20.47222222222222,6.361111111111111
Myanmar,20.09433962264151,14.650943396226415
Cameroon,16.194444444444443,12.5
Canada,37.05607476635514,27.560747663551403
Cabo Verde,39.73148148148148,11.648148148148149
Central African Republic,38.53703703703704,35.5
Sri Lanka,11.433962264150944,5.245283018867925
Chad,28.10185185185185,23.37037037037037
Chile,70.5925925925926,50.398148148148145
Colombia,55.4537037037037,32.907407407407405
Congo,15.527777777777779,12.944444444444445
Costa Rica,68.67592592592592,32.74074074074074
Cuba,34.68518518518518,18.12037037037037
Cyprus,51.691588785046726,24.252336448598133
Azerbaijan,64.18691588785046,30.299065420560748
Benin,12.62962962962963,10.564814814814815
Denmark,36.9811320754717,22.49056603773585
Dominica,49.05555555555556,21.38888888888889
Dominican Republic,35.370370370370374,21.47222222222222
Belarus,25.953703703703702,14.675925925925926
Ecuador,60.4537037037037,34.407407407407405
Egypt,35.149532710280376,21.8411214953271
El Salvador,36.861111111111114,14.166666666666666
Estonia,26.30188679245283,10.028301886792454
Fiji,21.745283018867923,15.622641509433961
Finland,38.905660377358494,19.31132075471698
France,37.056603773584904,22.72641509433962
French Polynesia,57.528301886792455,43.04716981132076
Djibouti,45.05555555555556,30.73148148148148
Georgia,44.05607476635514,12.25233644859813
Gabon,31.64814814814815,24.314814814814813
Gambia,17.34259259259259,6.574074074074074
Germany,31.67924528301887,16.264150943396228
Bosnia and Herzegovina,17.91509433962264,8.349056603773585
Ghana,8.675925925925926,6.277777777777778
Kiribati,11.81132075471698,9.981132075471699
Greece,35.320754716981135,20.29245283018868
Grenada,32.657407407407405,13.75925925925926
Guatemala,23.10185185185185,13.75
Guinea,21.87037037037037,16.98148148148148
Guyana,38.138888888888886,10.537037037037036
Haiti,14.222222222222221,10.62037037037037
Honduras,35.44444444444444,17.62962962962963
"China, Hong Kong SAR",82.62264150943396,69.86792452830188
Hungary,19.824074074074073,6.861111111111111
Croatia,26.4811320754717,14.339622641509434
Iceland,42.14150943396226,23.39622641509434
India,18.38679245283019,3.4622641509433962
Indonesia,8.716981132075471,6.60377358490566
Iran (Islamic Republic of),31.37735849056604,23.08490566037736
Iraq,13.495327102803738,8.19626168224299
Ireland,37.68867924528302,22.632075471698112
Israel,101.88785046728972,53.97196261682243
Italy,30.028301886792452,19.028301886792452
Cote d'Ivoire,7.296296296296297,5.574074074074074
Kazakhstan,112.14953271028037,51.77570093457944
Jamaica,32.2037037037037,14.092592592592593
Japan,34.386792452830186,23.70754716981132
Jordan,37.51401869158879,19.61682242990654
Kyrgyzstan,80.70093457943925,35.25233644859813
Kenya,44.94444444444444,25.0
Cambodia,11.358490566037736,10.867924528301886
Democratic People's Republic of Korea,4.216981132075472,3.292452830188679
Republic of Korea,37.12264150943396,32.5
Kuwait,80.24299065420561,45.205607476635514
Latvia,19.72641509433962,9.245283018867925
Lao People's Democratic Republic,15.29245283018868,14.79245283018868
Lebanon,51.83177570093458,28.252336448598133
Lesotho,25.98148148148148,20.13888888888889
Liberia,4.907407407407407,4.027777777777778
Lithuania,29.08490566037736,12.31132075471698
"China, Macao SAR",43.74528301886792,38.179245283018865
Madagascar,24.89814814814815,19.416666666666668
Malawi,11.62962962962963,9.74074074074074
Malaysia,24.09433962264151,20.08490566037736
Maldives,50.37735849056604,31.641509433962263
Mali,61.9537037037037,36.43518518518518
Malta,30.40566037735849,18.69811320754717
Mauritania,76.74074074074075,31.74074074074074
Mauritius,53.425925925925924,25.203703703703702
Mexico,56.75,35.18518518518518
Mongolia,91.09433962264151,75.5
Morocco,31.69158878504673,19.925233644859812
Mozambique,6.194444444444445,5.0
Republic of Moldova,16.685185185185187,4.2407407407407405
Namibia,29.89814814814815,14.148148148148149
Nepal,29.69811320754717,20.22641509433962
Netherlands,37.235849056603776,19.18867924528302
New Caledonia,45.27358490566038,27.764150943396228
North Macedonia,16.867924528301888,8.226415094339623
Vanuatu,21.50943396226415,17.77358490566038
New Zealand,54.5188679245283,38.60377358490566
Nicaragua,27.425925925925927,11.351851851851851
Niger,41.092592592592595,26.72222222222222
Nigeria,11.851851851851851,9.601851851851851
Norway,32.4622641509434,18.72641509433962
Pakistan,59.68867924528302,24.82075471698113
Panama,65.63888888888889,41.574074074074076
Czechia,26.814814814814813,8.74074074074074
Paraguay,57.19444444444444,41.93518518518518
Peru,27.925925925925927,16.36111111111111
Philippines,15.471698113207546,13.226415094339623
Poland,22.75925925925926,9.083333333333334
Portugal,30.42452830188679,19.5
Guinea-Bissau,18.15740740740741,13.296296296296296
Timor-Leste,7.867924528301887,6.40566037735849
Zimbabwe,26.63888888888889,19.65740740740741
Romania,27.935185185185187,7.157407407407407
Rwanda,10.62037037037037,8.833333333333334
Russian Federation,23.327102803738317,12.757009345794392
Saint Kitts and Nevis,35.120370370370374,19.60185185185185
Saint Lucia,39.06481481481482,22.89814814814815
Saint Vincent and the Grenadines,38.342592592592595,21.296296296296298
Sao Tome and Principe,11.277777777777779,5.703703703703703
Saudi Arabia,45.7196261682243,23.261682242990656
Senegal,22.74074074074074,18.65740740740741
Sierra Leone,7.842592592592593,6.138888888888889
Slovenia,29.650943396226417,17.066037735849058
Slovakia,16.324074074074073,6.0
South Africa,64.96296296296296,52.638888888888886
Spain,26.80188679245283,17.40566037735849
Suriname,31.546296296296298,21.10185185185185
Tajikistan,27.046728971962615,14.77570093457944
Eswatini,55.19444444444444,41.592592592592595
Sweden,40.0188679245283,23.22641509433962
Switzerland,33.235849056603776,17.88679245283019
Turkmenistan,103.89719626168224,74.41121495327103
"China, Taiwan Province of",29.150943396226417,23.141509433962263
United Republic of Tanzania,25.23148148148148,16.12962962962963
Thailand,13.537735849056604,9.216981132075471
Togo,8.75925925925926,6.805555555555555
Trinidad and Tobago,41.93518518518518,21.675925925925927
Oman,74.34579439252336,41.654205607476634
Tunisia,41.21495327102804,17.39252336448598
Turkey,70.10280373831776,27.682242990654206
United Arab Emirates,53.67289719626168,24.654205607476637
Uganda,22.87037037037037,14.592592592592593
United Kingdom,30.61320754716981,18.547169811320753
Ukraine,20.333333333333332,8.231481481481481
United States of America,46.81308411214953,30.560747663551403
Burkina Faso,22.37962962962963,14.49074074074074
Uruguay,104.61111111111111,61.324074074074076
Uzbekistan,76.55140186915888,48.8411214953271
Venezuela (Bolivarian Republic of),61.2037037037037,43.925925925925924
Viet Nam,23.18867924528302,20.81132075471698
Ethiopia,21.203703703703702,10.675925925925926
Samoa,33.87735849056604,26.17924528301887
Yemen,24.35514018691589,14.91588785046729
Zambia,15.11111111111111,12.731481481481481
Belgium,29.89622641509434,14.924528301886792
Luxembourg,42.5188679245283,27.5188679245283
Serbia,20.462264150943398,12.075471698113208
Montenegro,36.0188679245283,17.30188679245283
Sudan,67.3177570093458,30.700934579439252
China,27.37735849056604,21.650943396226417
