countrycode,country,gleam_region,bovine,muttongoat,pig,poultry,eggs,milk
1,Armenia,ne_na,2.90905,0.4088,0.92345,1.64615,1.25195,7.2489
2,Afghanistan,s_asia,0.68985,0.69715,0,0.31755,0.1387,2.2338
3,Albania,w_europe,3.4164,2.0659,0.99645,1.8031,1.33225,10.9354
4,Algeria,ne_na,0.82125,1.02565,0,0.8322,0.8395,4.8691
7,Angola,ssa,1.2702,0.1606,0.90155,2.1316,0.12045,0.38325
8,Antigua and Barbuda,lac,2.0659,0.22265,1.22275,6.935,0.43435,4.41285
9,Argentina,lac,9.95355,0.2044,1.168,4.5187,1.1315,5.4531
10,Australia,oceania,4.7012,1.2045,2.07685,5.8619,0.9125,7.23065
11,Austria,w_europe,2.482,0.14965,5.4969,2.79955,1.6644,8.11395
12,Bahamas,lac,3.32515,0.74095,3.32515,5.7597,0.6205,3.6354
14,Barbados,lac,2.555,0.5475,0.6278,5.17935,0.95265,3.72665
16,Bangladesh,s_asia,0.1971,0.2044,0,0.1606,0.2336,0.74825
17,Bermuda,northam,5.10635,0.36865,2.52215,4.4165,1.5841,3.4018
19,Bolivia (Plurinational State of),lac,2.59515,0.2555,0.82855,3.98215,0.51465,1.5257
20,Botswana,ssa,1.1315,0.52925,0.0803,0.6935,0.2044,3.796
21,Brazil,lac,5.3582,0.08395,1.21545,5.3144,0.9052,4.8034
23,Belize,lac,0.7519,0.01825,1.8177,3.33245,0.47815,2.6426
25,Solomon Islands,oceania,0.9563,0.01825,0.51465,0.4161,0.146,0.38325
26,Brunei Darussalam,e_se_asia,1.5987,0.28105,0.73365,7.7964,1.85055,2.3798
27,Bulgaria,e_europe,0.53655,0.21535,2.6499,2.95285,0.94535,5.7743
28,Myanmar,e_se_asia,0.66065,0.13505,1.2556,2.60975,0.6935,1.42715
32,Cameroon,ssa,0.61685,0.20805,0.17155,0.40515,0.04015,0.5183
33,Canada,northam,4.07705,0.12775,2.2557,4.7742,1.39065,4.6063
35,Cabo Verde,ssa,0.2993,0.2628,1.2191,2.4163,0.52925,3.9055
37,Central African Republic,ssa,1.74105,0.7154,0.42705,0.17885,0.04745,0.4234
38,Sri Lanka,s_asia,0.20075,0.0146,0.00365,0.6132,0.51465,1.18625
39,Chad,ssa,1.168,0.49275,0.0073,0.0511,0.02555,0.66065
40,Chile,lac,3.29595,0.0584,2.67545,4.5114,0.9855,3.4821
44,Colombia,lac,2.27395,0.0292,0.7081,3.00395,1.06945,3.8982
46,Congo,ssa,0.6643,0.0584,0.22265,1.64615,0.06205,0.3577
48,Costa Rica,lac,2.263,0.00365,0.9636,2.6718,1.0439,6.29625
49,Cuba,lac,0.9052,0.1898,2.1973,2.23745,0.97455,2.84335
50,Cyprus,ne_na,0.83585,0.72635,3.4091,3.25215,0.9563,4.24495
52,Azerbaijan,ne_na,1.8688,1.01835,0.0219,1.2994,0.87965,5.25965
53,Benin,ssa,0.4453,0.1168,0.0876,2.54405,0.0949,0.2847
54,Denmark,w_europe,3.6792,0.11315,2.77765,3.8836,1.8542,8.34755
55,Dominica,lac,1.19355,0.17885,1.2921,3.723,0.2482,4.91655
56,Dominican Republic,lac,1.3724,0.03285,0.8979,2.97475,0.71175,2.409
57,Belarus,e_europe,2.53675,0.0146,4.28145,3.8544,1.69725,4.47855
58,Ecuador,lac,2.31045,0.06205,1.41255,2.5404,0.79205,4.5552
59,Egypt,ne_na,1.76295,0.22995,0,1.8396,0.49275,2.0659
60,El Salvador,lac,0.9417,0.00365,0.29565,2.15715,0.9417,3.95295
63,Estonia,w_europe,1.1023,0.0584,2.62435,2.6061,1.3432,9.4827
66,Fiji,oceania,1.29575,0.7446,0.4818,2.4893,0.74095,1.3286
67,Finland,w_europe,2.91635,0.0657,3.44925,2.98935,1.095,11.6289
68,France,w_europe,3.431,0.4161,3.17185,3.1974,1.4965,8.36215
70,French Polynesia,oceania,4.59535,0.3577,1.533,6.1539,1.0074,3.20835
72,Djibouti,ssa,1.4746,0.73365,0.0146,0.25185,0.073,2.0075
73,Georgia,ne_na,0.86505,0.08395,0.79205,1.51475,0.657,4.96765
