Year,Methane_Emissions,N2o_Emissions
1766,1.9632619,0.005191085
1767,2.4364481,0.010116813
1768,2.911105,0.015042803
1769,3.3872782,0.019969063
1770,3.8650146,0.024895601
1771,4.3443625,0.029822427
1772,4.8253718,0.034749548
1773,5.3080938,0.039676975
1774,5.7925816,0.044604715
1775,6.2788896,0.04953278
1776,6.7670743,0.05446118
1777,7.2571937,0.059389923
1778,7.7493076,0.064319022
1779,8.2434776,0.069248487
1780,8.7397674,0.07417833
1781,9.2382426,0.079108562
1782,9.7389706,0.084039195
1783,10.242021,0.088970241
1784,10.747466,0.093901714
1785,11.25538,0.098833627
1786,11.765839,0.10376599
1787,12.278921,0.10869883
1788,12.794707,0.11363214
1789,13.313282,0.11856595
1790,13.834732,0.12350027
1791,14.359145,0.12843512
1792,14.886613,0.13337052
1793,15.417231,0.13830648
1794,15.951096,0.14324301
1795,16.488308,0.14818014
1796,17.028971,0.15311788
1797,17.573192,0.15805626
1798,18.121081,0.16299529
1799,18.672751,0.167935
1800,19.228319,0.1728754
1801,19.787906,0.17781651
1802,20.351635,0.18275836
1803,20.919636,0.18770098
1804,21.49204,0.19264437
1805,22.068984,0.19758858
1806,22.650607,0.20253362
1807,23.237055,0.20747952
1808,23.828476,0.2124263
1809,24.425025,0.217374
1810,25.02686,0.22232264
1811,25.634145,0.22727225
1812,26.247048,0.23222285
1813,26.865743,0.2371745
1814,27.490408,0.2421272
1815,28.12123,0.247081
1816,28.758398,0.25203593
1817,29.402108,0.25699203
1818,30.052563,0.26194932
1819,30.709971,0.26690786
1820,31.374548,0.27186767
1821,32.046514,0.2768288
1822,32.7261,0.28179128
1823,33.413539,0.28675516
1824,34.109076,0.29172049
1825,34.81296,0.2966873
1826,35.52545,0.30165564
1827,36.246813,0.30662557
1828,36.977321,0.31159712
1829,37.717259,0.31657035
1830,38.466917,0.32154532
1831,39.226597,0.32652206
1832,39.996609,0.33150065
1833,40.777271,0.33648114
1834,41.568914,0.34146358
1835,42.371876,0.34644803
1836,43.186509,0.35143456
1837,44.013173,0.35642324
1838,44.85224,0.36141413
1839,45.704093,0.36640729
1840,46.569129,0.3714028
1841,47.447755,0.37640073
1842,48.34039,0.38140115
1843,49.247469,0.38640415
1844,50.169439,0.3914098
1845,51.106759,0.39641818
1846,52.059904,0.40142938
1847,53.029365,0.40644349
1848,54.015644,0.41146059
1849,55.019264,0.41648078
1850,56.040759,0.42150415
1851,56.46132,0.42740096
1852,56.88188,0.46466062
1853,57.302441,0.46477417
1854,57.723001,0.46443647
1855,58.143562,0.46327909
1856,58.564122,0.46729312
1857,58.984683,0.47126447
1858,59.405243,0.47503119
1859,59.825804,0.47876627
1860,60.246364,0.48257672
1861,59.614468,0.50499476
1862,58.982573,0.47111281
1863,58.350677,0.47444935
1864,57.718781,0.47785801
1865,57.086885,0.48144966
1866,56.45499,0.48420454
1867,55.823094,0.48472337
1868,55.191198,0.48595323
1869,54.559303,0.48686155
1870,53.927407,0.48774355
1871,56.683869,0.58501628
1872,59.440331,0.66673981
1873,62.196793,0.69637076
1874,64.953255,0.7087503
1875,67.709717,0.72034342
1876,70.46618,0.74524338
1877,73.222642,0.75633197
1878,75.979104,0.7660459
1879,78.735566,0.77491118
1880,81.492028,0.78412129
1881,84.359461,0.81157848
1882,87.226893,0.78526034
1883,90.094326,0.79255607
1884,92.961758,0.7987505
1885,95.829191,0.80453383
1886,98.696624,0.82619361
1887,101.56406,0.83219647
1888,104.43149,0.83705812
1889,107.29892,0.84143987
1890,110.16635,0.84552548
1891,111.52362,0.85098169
1892,112.88089,0.85741997
1893,114.23816,0.86475824
1894,115.59543,0.87294487
