Country,VeganCosts,VegetarianCosts
Armenia,65.37272727272727,29.554545454545455
Afghanistan,26.063063063063062,17.054054054054053
Albania,34.369369369369366,19.693693693693692
Algeria,39.027272727272724,13.936363636363636
Angola,20.172727272727272,17.972727272727273
Antigua and Barbuda,53.09090909090909,31.4
Argentina,144.3090909090909,118.24545454545455
Australia,76.0,49.09090909090909
Austria,26.54054054054054,15.73873873873874
Bahamas,69.56363636363636,53.67272727272727
Barbados,59.29090909090909,41.69090909090909
Bangladesh,7.756756756756757,4.63063063063063
Bermuda,35.08181818181818,29.2
Bolivia (Plurinational State of),43.90909090909091,37.3
Botswana,38.0,20.29090909090909
Brazil,89.16363636363636,66.52727272727273
Belize,25.39090909090909,13.554545454545455
Solomon Islands,6.045454545454546,5.236363636363636
Brunei Darussalam,35.163636363636364,26.327272727272728
Bulgaria,15.936363636363636,5.909090909090909
Myanmar,17.318181818181817,12.9
Cameroon,14.10909090909091,11.036363636363637
Canada,33.88181818181818,25.1
Cabo Verde,34.99090909090909,12.254545454545454
Central African Republic,48.25454545454546,44.945454545454545
Sri Lanka,9.243243243243244,4.027027027027027
Chad,25.527272727272727,21.081818181818182
Chile,55.50909090909091,40.4
Colombia,48.59090909090909,29.1
Congo,10.790909090909091,8.145454545454545
Costa Rica,62.0,33.18181818181818
Cuba,28.436363636363637,15.581818181818182
Cyprus,48.236363636363635,22.527272727272727
Azerbaijan,53.472727272727276,27.045454545454547
Benin,10.736363636363636,8.872727272727273
Denmark,30.333333333333332,18.963963963963963
Dominica,52.95454545454545,22.336363636363636
Dominican Republic,33.78181818181818,23.763636363636362
Belarus,22.79090909090909,12.309090909090909
Ecuador,53.30909090909091,31.89090909090909
Egypt,32.67272727272727,20.71818181818182
El Salvador,36.68181818181818,18.954545454545453
Estonia,22.62162162162162,11.477477477477477
Fiji,21.972727272727273,17.145454545454545
Finland,30.063063063063062,15.17117117117117
France,32.072072072072075,20.126126126126128
French Polynesia,57.70909090909091,45.527272727272724
Djibouti,29.89090909090909,22.545454545454547
Georgia,38.79090909090909,13.00909090909091
Gabon,28.027272727272727,20.8
Gambia,17.28181818181818,6.9363636363636365
Germany,24.54954954954955,11.954954954954955
Bosnia and Herzegovina,15.432432432432432,7.162162162162162
Ghana,7.763636363636364,5.963636363636364
Kiribati,11.127272727272727,8.127272727272727
Greece,33.06306306306306,19.00900900900901
Grenada,34.445454545454545,16.945454545454545
Guatemala,21.654545454545456,12.8
Guinea,17.318181818181817,13.445454545454545
Guyana,30.772727272727273,11.136363636363637
Haiti,12.154545454545454,9.227272727272727
Honduras,33.627272727272725,17.318181818181817
"China, Hong Kong SAR",63.4,54.91818181818182
Hungary,17.772727272727273,6.345454545454546
Croatia,17.56756756756757,8.342342342342342
Iceland,33.85585585585586,18.0
India,15.666666666666666,3.765765765765766
Indonesia,7.1454545454545455,5.590909090909091
Iran (Islamic Republic of),27.99099099099099,19.92792792792793
Iraq,12.909090909090908,6.9818181818181815
Ireland,30.873873873873872,19.036036036036037
Israel,89.32727272727273,51.99090909090909
Italy,27.45945945945946,17.82882882882883
Cote d'Ivoire,7.590909090909091,5.527272727272727
Kazakhstan,95.00909090909092,44.08181818181818
Jamaica,33.836363636363636,18.20909090909091
Japan,28.8,19.8
Jordan,35.19090909090909,19.736363636363638
Kyrgyzstan,67.26363636363637,30.445454545454545
Kenya,43.56363636363636,25.345454545454544
Cambodia,9.763636363636364,9.409090909090908
Democratic People's Republic of Korea,3.4727272727272727,2.7
Republic of Korea,26.936363636363637,23.663636363636364
Kuwait,71.8,44.163636363636364
Latvia,18.71171171171171,7.864864864864865
Lao People's Democratic Republic,12.10909090909091,11.690909090909091
Lebanon,49.41818181818182,33.236363636363635
Lesotho,19.272727272727273,15.645454545454545
Liberia,3.518181818181818,2.8636363636363638
Lithuania,21.792792792792792,8.324324324324325
"China, Macao SAR",39.654545454545456,31.445454545454545
Madagascar,21.963636363636365,16.972727272727273
Malawi,7.9363636363636365,6.909090909090909
Malaysia,21.5,17.654545454545456
Maldives,27.135135135135137,14.702702702702704
Mali,55.0,31.081818181818182
Malta,23.7027027027027,14.936936936936936
Mauritania,61.78181818181818,26.80909090909091
Mauritius,50.17272727272727,24.7
Mexico,50.654545454545456,32.90909090909091
Mongolia,70.54545454545455,60.481818181818184
Morocco,26.62727272727273,17.672727272727272
Mozambique,4.618181818181818,3.690909090909091
Republic of Moldova,14.654545454545454,3.6636363636363636
Namibia,40.27272727272727,28.381818181818183
Nepal,24.0,16.594594594594593
Netherlands,30.46846846846847,15.18018018018018
Netherlands Antilles (former),52.28181818181818,19.79090909090909
New Caledonia,45.50909090909091,28.918181818181818
North Macedonia,15.17117117117117,8.036036036036036
Vanuatu,15.781818181818181,12.2
New Zealand,46.60909090909091,35.35454545454545
Nicaragua,24.454545454545453,11.418181818181818
Niger,35.30909090909091,22.572727272727274
Nigeria,9.927272727272728,8.00909090909091
Norway,26.423423423423422,14.936936936936936
Pakistan,47.108108108108105,19.153153153153152
Panama,54.5,36.25454545454546
Czechia,23.40909090909091,7.836363636363636
Paraguay,34.42727272727273,21.30909090909091
Peru,23.427272727272726,13.945454545454545
Philippines,13.209090909090909,11.463636363636363
Poland,17.663636363636364,6.490909090909091
Portugal,26.18918918918919,17.35135135135135
Guinea-Bissau,14.690909090909091,10.963636363636363
Timor-Leste,5.581818181818182,4.636363636363637
Zimbabwe,23.681818181818183,17.645454545454545
Romania,77.00909090909092,24.745454545454546
Rwanda,11.354545454545455,7.609090909090909
Russian Federation,20.263636363636362,10.754545454545454
Saint Kitts and Nevis,35.70909090909091,21.545454545454547
Saint Lucia,47.09090909090909,29.62727272727273
Saint Vincent and the Grenadines,47.85454545454545,31.036363636363635
Sao Tome and Principe,12.654545454545454,8.381818181818181
Saudi Arabia,41.872727272727275,23.472727272727273
Senegal,20.754545454545454,14.354545454545455
Sierra Leone,5.827272727272727,4.6
Slovenia,27.18918918918919,16.045045045045047
Slovakia,14.381818181818181,4.918181818181818
South Africa,55.554545454545455,44.27272727272727
Spain,23.18018018018018,15.27027027027027
Sudan (former),58.054545454545455,23.8
Suriname,32.56363636363636,23.01818181818182
Tajikistan,21.79090909090909,11.536363636363637
Eswatini,45.445454545454545,35.39090909090909
Sweden,31.99099099099099,17.504504504504503
Switzerland,27.81981981981982,14.756756756756756
Turkmenistan,91.38181818181818,65.37272727272727
"China, Taiwan Province of",24.236363636363638,19.663636363636364
United Republic of Tanzania,19.754545454545454,12.436363636363636
Thailand,11.581818181818182,8.309090909090909
Togo,7.127272727272727,6.345454545454546
Trinidad and Tobago,37.79090909090909,20.8
Oman,67.04545454545455,39.31818181818182
Tunisia,35.92727272727273,16.854545454545455
Turkey,49.527272727272724,21.2
United Arab Emirates,46.03636363636364,23.354545454545455
Uganda,20.027272727272727,12.763636363636364
United Kingdom,27.54954954954955,17.306306306306308
Ukraine,18.672727272727272,7.181818181818182
United States of America,43.58181818181818,29.763636363636362
Burkina Faso,25.59090909090909,20.527272727272727
Uruguay,93.35454545454546,59.91818181818182
Uzbekistan,59.845454545454544,35.481818181818184
Venezuela (Bolivarian Republic of),51.43636363636364,33.09090909090909
Viet Nam,15.245454545454546,13.418181818181818
Ethiopia,21.818181818181817,11.736363636363636
Samoa,33.85454545454545,29.445454545454545
Yemen,18.245454545454546,12.10909090909091
Zambia,14.754545454545454,12.909090909090908
Belgium,24.81081081081081,12.54054054054054
Luxembourg,33.027027027027025,21.693693693693692
Serbia,15.936936936936936,9.045045045045045
Montenegro,26.027027027027028,12.027027027027026
China,20.381818181818183,15.745454545454546
